"Term ID",Name,URL,"Deletion Status"
127011,"car garage",https://stg.thedrive.com/tags/car-garage,
127015,"Car Insurance",https://stg.thedrive.com/tags/car-insurance,
127024,"Car Owners",https://stg.thedrive.com/tags/car-owners,
127025,"Car Parts",https://stg.thedrive.com/tags/car-parts,
127030,"car product launches",https://stg.thedrive.com/tags/car-product-launches,
127130,"Carrera 10",https://stg.thedrive.com/tags/carrera-10,
127178,"Cars and Coo",https://stg.thedrive.com/tags/cars-and-coo,
127182,"Cars You Can't Drive on the Street",https://stg.thedrive.com/tags/cars-you-cant-drive-on-the-street,
127209,cashes,https://stg.thedrive.com/tags/cashes,
127378,CFDA,https://stg.thedrive.com/tags/cfda,
127456,ChannelNet,https://stg.thedrive.com/tags/channelnet,
127479,"Charlien Hainline",https://stg.thedrive.com/tags/charlien-hainline,
127552,"Chevrolet Astro",https://stg.thedrive.com/tags/chevrolet-astro,
127583,chevroley,https://stg.thedrive.com/tags/chevroley,
127608,"chicago aut show",https://stg.thedrive.com/tags/chicago-aut-show,
127610,"Chicago O'Hare Interantional Airport",https://stg.thedrive.com/tags/chicago-ohare-interantional-airport,
127611,Chicagoland,https://stg.thedrive.com/tags/chicagoland,
127725,"Chrysler 300 Hellcat",https://stg.thedrive.com/tags/chrysler-300-hellcat,
127756,"Circle Track",https://stg.thedrive.com/tags/circle-track,
127801,civuc,https://stg.thedrive.com/tags/civuc,
127820,cla250,https://stg.thedrive.com/tags/cla250,
127835,"Class 8",https://stg.thedrive.com/tags/class-8,
127945,CMR,https://stg.thedrive.com/tags/cmr,
128014,"Coil Cyclone",https://stg.thedrive.com/tags/coil-cyclone,
128016,"Coke 600",https://stg.thedrive.com/tags/coke-600,
128029,"Cole Whitt",https://stg.thedrive.com/tags/cole-whitt,
128041,"collective bargaining",https://stg.thedrive.com/tags/collective-bargaining,
128138,comfort,https://stg.thedrive.com/tags/comfort,
128182,"commercial drivers",https://stg.thedrive.com/tags/commercial-drivers,
128267,"Conan O'Brian Show",https://stg.thedrive.com/tags/conan-obrian-show,
128329,"connors way",https://stg.thedrive.com/tags/connors-way,
128397,contracting,https://stg.thedrive.com/tags/contracting,
128434,cooling,https://stg.thedrive.com/tags/cooling,
128489,"Corvette Sport Wagon",https://stg.thedrive.com/tags/corvette-sport-wagon,
128926,"Dakota Johnson",https://stg.thedrive.com/tags/dakota-johnson,
129087,"Daytona Bike Week",https://stg.thedrive.com/tags/daytona-bike-week,
129134,"de lorean",https://stg.thedrive.com/tags/de-lorean,
129257,deketora,https://stg.thedrive.com/tags/deketora,
129289,"Demarkation Line",https://stg.thedrive.com/tags/demarkation-line,
129325,"Denny Hamlin Foundation",https://stg.thedrive.com/tags/denny-hamlin-foundation,
129460,"Diana Prince",https://stg.thedrive.com/tags/diana-prince,
129622,divi,https://stg.thedrive.com/tags/divi,
129810,"Dr. Robert Hubbard",https://stg.thedrive.com/tags/dr-robert-hubbard,
129894,"driverless car",https://stg.thedrive.com/tags/driverless-car,
129958,"drones camera",https://stg.thedrive.com/tags/drones-camera,
129959,"drones for kids",https://stg.thedrive.com/tags/drones-for-kids,
129961,"drones Hezbollah",https://stg.thedrive.com/tags/drones-hezbollah,
129963,"drones w camera",https://stg.thedrive.com/tags/drones-w-camera,
129967,"drones. Vikhr",https://stg.thedrive.com/tags/drones-vikhr,
130036,"Ducati Multistrada Enduro",https://stg.thedrive.com/tags/ducati-multistrada-enduro,
130053,"duffle bag",https://stg.thedrive.com/tags/duffle-bag,
130075,"Dupuc Motors",https://stg.thedrive.com/tags/dupuc-motors,
130129,"E-7 Wedgetial",https://stg.thedrive.com/tags/e-7-wedgetial,
130213,"early EV",https://stg.thedrive.com/tags/early-ev,
130233,"East Lawn",https://stg.thedrive.com/tags/east-lawn,
130284,Eckler's,https://stg.thedrive.com/tags/ecklers,
130781,Etiquette,https://stg.thedrive.com/tags/etiquette,
130857,"everything you need to know",https://stg.thedrive.com/tags/everything-you-need-to-know,
130885,"exclusive cars",https://stg.thedrive.com/tags/exclusive-cars,
130994,"extreme aero",https://stg.thedrive.com/tags/extreme-aero,
131004,f,https://stg.thedrive.com/tags/f,
131033,F-14EJ,https://stg.thedrive.com/tags/f-14ej,
131132,"F-35A. F-35",https://stg.thedrive.com/tags/f-35a-f-35,
131178,f-cell,https://stg.thedrive.com/tags/f-cell,
131249,"F355 Berlinetta",https://stg.thedrive.com/tags/f355-berlinetta,
131285,"fabricated data",https://stg.thedrive.com/tags/fabricated-data,
131296,"Facel II",https://stg.thedrive.com/tags/facel-ii,
131297,"Facel Vega",https://stg.thedrive.com/tags/facel-vega,
131304,factoruy,https://stg.thedrive.com/tags/factoruy,
131319,Fairfax,https://stg.thedrive.com/tags/fairfax,
131350,"fallen soldier",https://stg.thedrive.com/tags/fallen-soldier,
131496,"Ferrari 275 GTB/4",https://stg.thedrive.com/tags/ferrari-275-gtb-4,
131501,"Ferrari 400",https://stg.thedrive.com/tags/ferrari-400,
131505,"Ferrari 458 Italia",https://stg.thedrive.com/tags/ferrari-458-italia,
131531,"Ferrari GTC4Lusso T",https://stg.thedrive.com/tags/ferrari-gtc4lusso-t,
131532,"Ferrari GTC4LussoT",https://stg.thedrive.com/tags/ferrari-gtc4lussot,
131619,"Fifty Shades Darker",https://stg.thedrive.com/tags/fifty-shades-darker,
131620,"Fifty Shades of Grey",https://stg.thedrive.com/tags/fifty-shades-of-grey,
131719,first,https://stg.thedrive.com/tags/first,
131750,Fisher-Price,https://stg.thedrive.com/tags/fisher-price,
131868,"fling cars",https://stg.thedrive.com/tags/fling-cars,
132006,"forced induction",https://stg.thedrive.com/tags/forced-induction,
132028,"Ford EcoBoost 300",https://stg.thedrive.com/tags/ford-ecoboost-300,
132077,"Ford Mustang Shelby GT350",https://stg.thedrive.com/tags/ford-mustang-shelby-gt350,
132082,"Ford Performance Tech Center",https://stg.thedrive.com/tags/ford-performance-tech-center,
132091,"Ford Simulator",https://stg.thedrive.com/tags/ford-simulator,
132105,"Ford Windsor",https://stg.thedrive.com/tags/ford-windsor,
132107,FordEcoSport,https://stg.thedrive.com/tags/fordecosport,
132154,"Formula One sesson",https://stg.thedrive.com/tags/formula-one-sesson,
132228,"fox shocks",https://stg.thedrive.com/tags/fox-shocks,
132229,"Fox Sports",https://stg.thedrive.com/tags/fox-sports,
132455,FZJ80,https://stg.thedrive.com/tags/fzj80,
132502,"Gal Gadot",https://stg.thedrive.com/tags/gal-gadot,
132503,Galacia,https://stg.thedrive.com/tags/galacia,
132691,"general motora",https://stg.thedrive.com/tags/general-motora,
132703,"Genesis G70",https://stg.thedrive.com/tags/genesis-g70,
132746,Geotonomous,https://stg.thedrive.com/tags/geotonomous,
132759,"Germain Racing",https://stg.thedrive.com/tags/germain-racing,
132802,Ghouta,https://stg.thedrive.com/tags/ghouta,
132922,globalization,https://stg.thedrive.com/tags/globalization,
132987,godaddy,https://stg.thedrive.com/tags/godaddy,
133022,GOLIATH,https://stg.thedrive.com/tags/goliath,
133028,"good MPG",https://stg.thedrive.com/tags/good-mpg,
133207,Greenwood,https://stg.thedrive.com/tags/greenwood,
133319,"GT-R Track Edition",https://stg.thedrive.com/tags/gt-r-track-edition,
133396,"GUIK Gap",https://stg.thedrive.com/tags/guik-gap,
133526,hahahaha,https://stg.thedrive.com/tags/hahahaha,
133607,"HANS device",https://stg.thedrive.com/tags/hans-device,
