URL,Group,Page type,Timeframe,Funnel
https://www.wearethemighty.com/watch/this-marine-pilot-lands-on-stool/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-trending/unsinkable-aircraft-carriers-in-the-pacific/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/popular/this-kid-turned-in-a-lost-nazi-fighter-as-homework/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/humor/china-top-gun-blunder/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-trending/this-wwii-battle-had-ships-firing-point-blank-with-16-inch-guns/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/humor/15-star-wars-memes-we-can-all-relate-to/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/articles/the-reason-why-deadly-wounds-are-not-treated-first-in-combat/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-trending/this-famous-pilot-flew-50-combat-missions-as-a-civilian/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-tactical/this-bomb-is-heavier-than-the-moab/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-tactical/semi-auto-sniper-rifles-kicked-ass/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/popular/watch-this-bird-strike-take-out-a-jet-from-the-pilots-pov/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-tactical/how-russian-special-forces-learned-from-us/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-tactical/160th-super-secret-special-ops-aviation-unit/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/watch/watch-the-viet-cong-tunnel-systems/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-trending/these-soldiers-defeated-a-column-of-tanks-by-hacking-them/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-movies/these-are-the-real-brothers-that-inspired-saving-private-ryan/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-trending/that-time-the-usaf-intercepted-a-pilotless-soviet-fighter/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/popular/watch-this-huge-guided-missile-destroyer-turn-on-a-dime/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/military-life/least-stealthy-aircraft-saved-a-downed-pilot/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/watch/rituals-of-the-tattooed-maori-warriors-live-on/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/music/history-of-the-foo-fighters/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/watch/the-pilot-of-the-enola-gay-needed-a-tire-gauge-and-a-tape-measure/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/popular/nasa-nerds-made-a-franken-bomber-but-they-werent-the-first-to-do-it/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-trending/this-is-why-the-navy-wears-bell-bottoms-and-its-not-for-fashion/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-tactical/russian-submarine-fleet-basket-case/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-moments/this-royal-marine-threw-himself-on-a-grenade-and-walked-away-with-a-nosebleed/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-tactical/french-missile-that-can-wipe-out-a-city/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-trending/these-10-letters-kids-sent-to-deployed-troops-will-make-you-smile/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-trending/what-it-was-like-fighting-with-afghan-troops/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-trending/nasa-has-a-swat-team-and-theyre-good/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/veterans/this-church-of-patton-immortalized-the-general-and-his-third-army-in-stained-glass/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-movies/it-would-suck-to-be-a-star-wars-rebel-soldier/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-trending/how-russias-only-carrier-would-fight-an-american-carrier/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/popular/this-green-beret-lived-in-a-cave-before-receiving-the-medal-of-honor/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-movies/stubby-most-decorated-dog-of-wwi/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/popular/sticky-grenades-are-only-really-a-thing-in-video-games-and-movies/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/popular/this-medal-of-honor-recipient-blocked-out-being-paralyzed-to-finish-the-mission/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-tactical/why-american-submarines-feared-this-russian-destroyer/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-tactical/the-chinook-could-have-been-a-search-and-rescue-legend/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/watch/heres-where-the-medal-of-honor-is-made/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/watch/this-medal-of-honor-recipient-thacker/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/popular/corpsmen-marines/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/popular/why-the-navy-doesnt-use-these-small-boats-with-a-big-punch/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-tactical/why-the-navy-doesnt-use-flying-boats/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/popular/why-the-us-military-has-shoulder-pockets-on-combat-uniforms/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-tactical/difference-between-a-magazine-and-a-clip/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/popular/viking-raiders-gave-each-other-these-hilarious-nicknames/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/popular/the-ultra-rare-marine-corps-uniform-accessory-you-may-never-see/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/popular/russia-wanted-to-take-on-the-f-22-with-this-unique-looking-fighter/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/popular/this-dragonfly-stung-the-communists-in-vietnam/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-trending/this-is-the-plane-that-almost-beat-out-the-legendary-f-16/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-trending/this-insanely-talented-sniper-was-known-as-the-white-death/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/military-life/tactical-acquisition-is-stealing/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-tactical/who-would-win-a-1989-dogfight-between-a-tomcat-and-an-eagle/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-trending/why-sheepdog-really-is-the-most-proper-analogy-for-veterans/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-gaming/why-troops-love-playing-dnd/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-trending/everyone-knows-you-were-military/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-tactical/aircraft-night-stalkers/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/popular/truth-cell-phones-basic-training/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-trending/switzerland-vets-keep-guns/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/popular/us-can-invade-the-hague/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-tactical/mcmillan-tac-50-longest-snipers/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/military-life/why-early-trouble-is-good-news/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/popular/jimi-hendrix-kicked-out-of-army/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-trending/how-vets-do-independence-day/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/music/cher-navy-music-video/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-trending/how-to-drink-like-hemingway/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-culture/polynesian-tattoos-cooler-than-yours/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-trending/c-5-galaxy-surprising-nickname/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-trending/camp-bastion-bloody-attack/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-trending/6-awesome-navy-films/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-trending/why-army-specialist-still-exists/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-trending/marines-soldiers-best-buds/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-trending/legendary-special-forces-sidney-shachnow/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-culture/earths-best-defense-against-alien-invasion/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-tactical/ridiculous-wwi-body-armor/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-trending/marine-corps-martial-arts-program/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-trending/seven-surprising-stages-of-separation/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-sports/rocky-bleier-steeler-veteran-nfl/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-trending/saluting-in-combat-zones/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-trending/vietnam-beer-run/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-trending/foreign-special-operations-units/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-culture/helicopter-to-summit-everest/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-trending/training-next-to-north-korea/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-trending/why-doc-isnt-in-formation/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-trending/son-of-a-gun-origins/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-trending/losing-vietnam-was-a-victory/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-sports/hungover-super-bowl-touchdown/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-trending/state-of-union-general-goof/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-trending/cop-inspired-dirty-harry-bullitt/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-trending/aluminum-hull-fire-armored-vehicle/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-trending/last-ac-130-lost-combat/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-trending/what-it-means-have-guts/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-trending/patrol-torpedo-boats-navy-ww2/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-trending/combat-vets-of-civil-war/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-trending/meuse-argonne-douglas-macarthur-ww1/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-trending/british-manned-torpedo-chariot-ww2/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-trending/submarine-rescue-crete-torbay-ww2/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-trending/barrage-observation-balloons-ww1-fighter/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-movies/special-forces-veterans-triple-frontier/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-trending/disney-character-leader-of-marines/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-trending/point-salines-bulldozer-stolen-rangers/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/humor/dod-has-brownie-recipe/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-trending/coast-guard-saved-new-york/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-trending/world-war-pilot-fake-death/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-trending/revolutionary-war-photographs/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-trending/marines-la-riots/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-trending/reasons-why-marines-destroy-aliens/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-trending/difference-between-veterans-memorial-day/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-trending/tips-for-long-distance-hikes/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-trending/army-aviation-broken-wings-award/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-trending/veteran-fights-hoa-for-flag/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-trending/marine-scout-sniper-aerial-training/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-trending/the-most-decorated-marine/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-trending/iraq-buried-air-force-desert/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-trending/military-entrepreneurs-make-best-friends/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-trending/forgotten-heroes-talk-about-wwi/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-trending/signs-might-be-drill-sergeant/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-trending/actual-footage-george-bushs-ww2/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-trending/missions-military-working-dog/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-trending/captains-went-down-with-ship/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-trending/elvis-presley-drafted-into-army/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-trending/april-fools-in-the-military/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-trending/military-parenting-hacks/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-trending/4th-of-july-meme/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-trending/honor-the-fallen/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/veterans/dont-look-forward-veterans-day/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-trending/armenias-all-women-military-unit/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-culture/charlynda-scales-veteran-success/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-stories/the-legend-of-the-double-rats-racket-of-marine-corps-recruiting-depot-parris-island/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-movies/bob-hope-vietnam-war-effort/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-tactical/this-pistol-is-just-like-the-epic-wwii-welrod-but-better/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-sports/why-nfl-referees-no-longer-use-pistols-to-call-the-end-of-a-quarter/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/articles/north-vietnamese-deadly-in-jungle-combat/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-culture/indiana-military-museum/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-culture/different-types-of-military-honors/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-culture/the-history-of-the-woobie-and-why-theyre-so-beloved/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/articles/movies-and-shows-you-forgot-featured-key-milspouses/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-humor/astronaut-wore-gorilla-suit-in-space/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/watch/watch-this-f-16-pilot-dodge-missles/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/popular/navy-intelligence-found-bill-the-goat/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-lifestyle/businessman-built-a-cobra-attack-helicopter/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/military-life/attorney-bought-a-sherman-tank/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-moments/badass-congressman-interrogated-saddam-hussein/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-culture/the-u-s-navy-hymn/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/articles/sas-soldiers-wear-the-punisher-skull-after-they-get-their-first-kill/,Non-Membership,News,Non-Evergreen,
