URL,1. Group,2. Page Type,3. Timeframe,4. Funnel
https://www.wearethemighty.com/mighty-history/the-military-influences-of-g-i-joe-cartoons/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/mighty-history/walt-disney-canadian-army/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/veterans/gifts-for-veterans-this-holiday-season/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/mighty-culture/prank-your-team-leader/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/mighty-history/white-house-facts/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/military-life/air-force-uniforms-2/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/mighty-brave/law-enforcement-heroes/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/mighty-movies/corporal-jason-dunham-the-gift-documentary/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/articles/folds-of-honor/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/mighty-history/annapolis-cup/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/mighty-movies/rod-serling-shows/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/mighty-history/pearl-harbor-reflections/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/mighty-history/battle-of-the-bulge-2/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/mighty-history/space-force-birthday/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/mighty-history/installation-protected-americas-nuclear-arsenal-during-cold-war/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/mighty-history/marine-corps-m16/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/mighty-history/before-they-were-game-show-hosts-these-household-names-served-in-the-military/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/intel/president-bidens-north-korea-strategy/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/intel/most-sanctioned-countries/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/mighty-history/picketts-charge/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/mighty-history/missing-nuclear-weapons/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/mighty-culture/month-of-the-military-child-april/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/mighty-culture/national-wreaths-across-america-day/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/mighty-funny/thanksgiving-parade-afghanistan/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/mighty-tactical/holographic-weapon-sight/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/mighty-history/mexican-american-war-saint-patricks-battalion/,Non-Membership,Feature,Non-Evergreen,
